date,total_sales,mean_daily_sales,median_daily_sales,mean_oil_price,median_oil_price,total_promotion_units,mean_promotion_rows_pct,sales_index,oil_price_index
2013-01-01,10327624.7369095,333149.18506159674,302530.80901799997,94.63225806451612,94.28,0,0.0,0.5213262128081767,1.3967307839024317
2013-02-01,9658959.7774368,344962.84919417143,319883.406937,95.40357142857144,95.95,0,0.0,0.5398127439413213,1.4081150321666644
2013-03-01,11428497.0374875,368661.19475766126,332189.993189,93.21709677419355,93.03,0,0.0,0.5768969371388802,1.3758436215456689
2013-04-01,10993464.7380118,366448.8246003933,334211.19949549995,91.79299999999999,92.63,0,0.0,0.5734349249019148,1.3548245753509112
2013-05-01,11597704.007026799,374119.4840976387,335937.441949,94.65451612903226,94.85,0,0.0,0.5854383037026183,1.3970593032100718
2013-06-01,11689344.0622436,389644.8020747866,353713.6899775,95.58433333333332,95.9,0,0.0,0.6097329908475764,1.4107829989055078
2013-07-01,11257400.6076808,363141.9550864774,342802.29905,104.77677419354839,105.1,0,0.0,0.5682601928682108,1.5464594097960904
2013-08-01,11737788.9194727,378638.3522410548,354932.930947,106.66645161290322,106.78,0,0.0,0.5925096234627164,1.5743502228997868
2013-09-01,11792933.2318679,393097.77439559664,361555.74200950004,106.491,107.385,0,0.0,0.6151363508546149,1.5717606337486942
2013-10-01,11775620.3605191,379858.7213070677,348721.327971,100.67483870967742,101.15,0,0.0,0.5944193096091649,1.4859166342026102
2013-11-01,12356559.2929861,411885.30976620334,373682.8190505,93.89266666666667,93.88499999999999,0,0.0,0.6445358964694335,1.385814737999971
2013-12-01,15803117.1479746,526770.5715991533,507362.85061725,97.60933333333334,97.48,0,0.0,0.8243133089453905,1.4406711141766682
2014-01-01,18911640.7014034,610052.9258517226,560816.192394,94.59451612903226,93.96,0,0.0,0.9546371286726197,1.3961737294242595
2014-02-01,12038352.6339783,429941.16549922497,397880.52145925,100.59214285714286,100.31,0,0.0,0.6727904782315549,1.484696079549277
2014-03-01,20365584.016477,656954.3231121612,612719.522118,100.97225806451613,100.71,0,0.0,1.0280304578643915,1.4903064139365823
2014-04-01,12861251.057149401,428708.3685716467,395928.5135095,102.26066666666667,101.945,1939,0.007463524130190797,0.6708613444313413,1.5093227619945722
2014-05-01,13379785.2611975,431605.9761676613,388814.744958,102.24483870967742,102.31,11575,0.03555265920857319,0.6753956457653074,1.5090891482646949
2014-06-01,13319958.1730016,443998.60576672,415364.29100875,105.85066666666667,106.475,21496,0.0816872427983539,0.6947881670299693,1.5623095935123326
2014-07-01,19421891.0438224,626512.6143168516,583936.68549,103.68741935483871,104.06,69665,0.16201440932623729,0.9803939590546049,1.530381008319275
2014-08-01,13885176.419054199,447908.91674368386,409544.575013,96.63677419354838,97.3,42940,0.1388436334672894,0.7009071902902119,1.4263165661875752
2014-09-01,20022416.1138096,667413.87046032,610613.72262485,93.409,92.995,71659,0.1748222970445193,1.0443980086530726,1.378676029315452
2014-10-01,20396101.3141771,657938.752070229,620201.323059,84.53322580645163,82.8,76899,0.1923174396292676,1.029570934754327,1.2476734800722116
2014-11-01,20531635.2036432,684387.84012144,602112.3750465,75.63066666666667,76.215,71034,0.17413019079685746,1.0709596084304112,1.1162755967249463
2014-12-01,24340454.3638302,811348.47879434,790233.1178915,59.159666666666666,56.91,91907,0.23101384212495324,1.2696330913711322,0.8731708329564142
2015-01-01,14896922.0571985,480545.8728128548,439381.226073,47.86290322580645,47.98,53148,0.18710401506100433,0.7519789067105354,0.706435540160633
2015-02-01,13742395.8483812,490799.85172790004,454962.649551,50.71178571428572,50.364999999999995,40744,0.15885040885040885,0.7680247751493462,0.7484838010049084
2015-03-01,15598607.5183553,503180.88768888067,463723.974873,47.76129032258064,48.42,42360,0.14224684117157235,0.7873991541891343,0.7049357781040156
2015-04-01,14955068.1707755,498502.2723591833,458721.724877,53.918,55.57,54375,0.19156378600823046,0.780077855142383,0.7958061230569917
2015-05-01,17730368.244309,571947.3627196451,509493.227021,59.32,59.41,62882,0.2298975417254987,0.8950079000707373,0.875537282906279
2015-06-01,21615360.3512421,720512.01170807,671093.1245655001,59.741,59.644999999999996,97827,0.25261878039655816,1.1274882700887265,0.8817510589700608
2015-07-01,22209619.0387389,716439.3238302871,664505.100179,51.413225806451614,50.9,112742,0.1977299880525687,1.121115152451108,0.7588367503039047
2015-08-01,22963674.241281502,740763.6852026291,694747.161863,43.17935483870968,43.11,105614,0.2262771079975381,1.1591789621851043,0.6373084122240384
2015-09-01,23240882.4779112,774696.08259704,709137.7905270001,45.43833333333334,45.465,140873,0.27970445192667415,1.2122778410608235,0.6706499478499068
2015-10-01,23878267.6645621,770266.6988568419,699259.488037,46.33419354838709,46.28,115220,0.20844647188733212,1.2053465503541552,0.6838724532199675
2015-11-01,22804953.3682112,760165.1122737066,693215.836624,42.221000000000004,41.055,128497,0.20389075944631502,1.1895391520086778,0.6231635135129131
2015-12-01,27243981.6737737,908132.7224591232,869015.800799,37.13766666666666,36.945,132993,0.22343808454919564,1.421085249958692,0.5481357344371613
2016-01-01,23977804.8854341,773477.5769494871,709784.229951,32.244516129032256,32.07,119578,0.20531479671264619,1.2103710708719466,0.4759149703344671
2016-02-01,21947408.8010028,756807.2000345794,726619.7578255,30.297241379310346,30.68,183541,0.1947250280583614,1.1842845461171978,0.44717404579900644
2016-03-01,23131780.8838199,746186.4801232226,690469.800941,37.68451612903226,37.99,181790,0.2440353354331849,1.1676647855505906,0.5562069935814354
2016-04-01,25963025.1019622,865434.1700654067,826148.21802675,40.611999999999995,40.67,215312,0.29408903853348295,1.354268713674228,0.5994153764900505
2016-05-01,24779432.2602277,799336.5245234742,761422.5161262,46.83741935483871,47.67,370019,0.3981390970638282,1.2508362672777529,0.691299846262263
2016-06-01,22209218.5803836,740307.2860127867,695641.7427721999,48.58733333333334,48.79,285416,0.40856715301159746,1.1584647690493017,0.7171278120419479
2016-07-01,23462672.4331036,756860.401067858,697383.602092,44.92225806451613,45.22,264605,0.40909090909090906,1.184367797388521,0.6630329023570656
2016-08-01,22452414.3178949,724271.4296095128,715195.5388238,44.95161290322581,45.72,271592,0.3643785525505956,1.133371169356693,0.6634661669511994
2016-09-01,22417448.0969967,747248.26989989,686535.971721,44.952,44.519999999999996,296361,0.3585858585858586,1.16932631998588,0.6634718803304627
2016-10-01,24030389.816292,775173.8650416774,710456.4240015,49.66451612903226,49.76,370514,0.4055971905434271,1.2130254956359443,0.733026559481928
2016-11-01,24642640.1973935,821421.3399131167,782019.559934,45.51133333333333,45.465,438358,0.44369622147399923,1.2853955388711122,0.6717273959559782
2016-12-01,29640287.5793851,988009.5859795033,942040.0498895501,51.981,51.93,517498,0.47723531612420506,1.5460800109165376,0.7672168493383561
2017-01-01,26328159.9357051,849295.4817969387,782656.0246723,52.69806451612904,52.45,363428,0.46098982658122445,1.3290141982440415,0.7778004083086886
2017-02-01,23250112.3749368,830361.1562477428,779657.1825814999,53.550357142857145,53.71,297254,0.47272326438993106,1.2993849490270148,0.7903798751098785
2017-03-01,26704017.6908793,861419.9255122355,812306.77427,49.30903225806451,48.34,339291,0.43037905941131743,1.3479870506714995,0.7277797728584603
2017-04-01,25895308.489555098,863176.9496518367,793779.1033775001,51.10666666666667,50.765,371042,0.45241301907968573,1.3507365178219037,0.7543120713373269
2017-05-01,26911847.250593,868124.1048578387,807803.8950783,48.51548387096774,48.64,414646,0.49187212628072846,1.3584780396486567,0.7160673453686867
2017-06-01,25682822.1249936,856094.07083312,793131.26490045,45.202999999999996,44.835,394582,0.44377104377104376,1.3396529235767067,0.6671765306677768
2017-07-01,27011477.5658307,871337.9859945388,818325.522149,46.53612903225807,46.02,409128,0.4231019876181166,1.3635072594593,0.686852932735658
2017-08-01,12433322.9407775,828888.1960518333,797464.963817,48.97933333333334,49.07,160278,0.44085297418630753,1.2970799973867797,0.7229135607759205
